timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1653294315324,18541,Home page,200,,User threads 1-239,text,true,,3364,116,500,500,http://localhost:8080/,18447,0,1
1653294315008,18859,Home page,200,,User threads 1-224,text,true,,3364,116,500,500,http://localhost:8080/,18562,0,0
1653294312369,21500,Home page,200,,User threads 1-98,text,true,,3364,116,500,500,http://localhost:8080/,21198,0,1
1653294333370,503,CSS,200,,User threads 1-234,text,true,,152736,143,500,500,http://localhost:8080/resources/css/petclinic.css,300,0,0
1653294315136,18831,Home page,200,,User threads 1-230,text,true,,3364,116,500,500,http://localhost:8080/,18631,0,0
1653294314949,19314,Home page,200,,User threads 1-221,text,true,,3364,116,500,500,http://localhost:8080/,18621,0,0
1653294330281,3983,CSS,200,,User threads 1-124,text,true,,152736,143,500,500,http://localhost:8080/resources/css/petclinic.css,3191,0,0
1653294312046,22218,Home page,200,,User threads 1-83,text,true,,3364,116,500,500,http://localhost:8080/,22218,0,1
1653294316793,17475,Home page,200,,User threads 1-311,text,true,,3364,116,500,500,http://localhost:8080/,17473,0,0
1653294313820,20550,Home page,200,,User threads 1-168,text,true,,3364,116,500,500,http://localhost:8080/,20550,0,0
1653294315804,18567,Home page,200,,User threads 1-262,text,true,,3364,116,500,500,http://localhost:8080/,18566,0,0
1653294314690,19779,Home page,200,,User threads 1-209,text,true,,3364,116,500,500,http://localhost:8080/,19779,0,0
1653294313390,21185,Home page,200,,User threads 1-147,text,true,,3364,116,500,500,http://localhost:8080/,21185,0,1
1653294311809,22858,Home page,200,,User threads 1-72,text,true,,3364,116,500,500,http://localhost:8080/,22762,0,1
1653294316132,18535,Home page,200,,User threads 1-278,text,true,,3364,116,500,500,http://localhost:8080/,18535,0,1
1653294314347,20322,Home page,200,,User threads 1-193,text,true,,3364,116,500,500,http://localhost:8080/,20322,0,1
1653294313736,21031,Home page,200,,User threads 1-164,text,true,,3364,116,500,500,http://localhost:8080/,20932,0,1
1653294315641,19127,Home page,200,,User threads 1-254,text,true,,3364,116,500,500,http://localhost:8080/,19127,0,1
1653294312519,22352,Home page,200,,User threads 1-105,text,true,,3364,116,500,500,http://localhost:8080/,22352,0,1
1653294312066,22904,Home page,200,,User threads 1-84,text,true,,3364,116,500,500,http://localhost:8080/,22902,0,1
1653294315971,19001,Home page,200,,User threads 1-270,text,true,,3364,116,500,500,http://localhost:8080/,18995,0,1
1653294314413,20859,Home page,200,,User threads 1-196,text,true,,3364,116,500,500,http://localhost:8080/,20859,0,0
1653294331075,4200,CSS,200,,User threads 1-113,text,true,,152736,143,500,500,http://localhost:8080/resources/css/petclinic.css,3597,0,0
1653294314501,20777,Home page,200,,User threads 1-200,text,true,,3364,116,500,500,http://localhost:8080/,20777,0,1
1653294312563,22801,Home page,200,,User threads 1-107,text,true,,3364,116,500,500,http://localhost:8080/,22800,0,1
1653294315028,20343,Home page,200,,User threads 1-225,text,true,,3364,116,500,500,http://localhost:8080/,20343,0,0
1653294313410,22059,Home page,200,,User threads 1-148,text,true,,3364,116,500,500,http://localhost:8080/,22059,0,1
1653294314542,21030,Home page,200,,User threads 1-202,text,true,,3364,116,500,500,http://localhost:8080/,21030,0,1
1653294315535,20041,Home page,200,,User threads 1-249,text,true,,3364,116,500,500,http://localhost:8080/,20041,0,1
1653294315156,20511,Home page,200,,User threads 1-231,text,true,,3364,116,500,500,http://localhost:8080/,20510,0,1
1653294315518,20149,Home page,200,,User threads 1-248,text,true,,3364,116,500,500,http://localhost:8080/,20051,0,1
1653294317295,18470,Home page,200,,User threads 1-336,text,true,,3364,116,500,500,http://localhost:8080/,18469,0,1
1653294315845,19922,Home page,200,,User threads 1-264,text,true,,3364,116,500,500,http://localhost:8080/,19626,0,1
1653294315992,19776,Home page,200,,User threads 1-271,text,true,,3364,116,500,500,http://localhost:8080/,19775,0,0
1653294315697,20166,Home page,200,,User threads 1-257,text,true,,3364,116,500,500,http://localhost:8080/,20166,0,1
1653294316190,19677,Home page,200,,User threads 1-281,text,true,,3364,116,500,500,http://localhost:8080/,19581,0,0
1653294315475,20392,Home page,200,,User threads 1-246,text,true,,3364,116,500,500,http://localhost:8080/,20097,0,1
1653294315052,20815,Home page,200,,User threads 1-226,text,true,,3364,116,500,500,http://localhost:8080/,20417,0,0
1653294316488,19380,Home page,200,,User threads 1-296,text,true,,3364,116,500,500,http://localhost:8080/,19182,0,0
1653294315907,20061,Home page,200,,User threads 1-267,text,true,,3364,116,500,500,http://localhost:8080/,19461,0,0
1653294317096,18976,Home page,200,,User threads 1-326,text,true,,3364,116,500,500,http://localhost:8080/,18272,0,1
1653294333685,2387,CSS,200,,User threads 1-317,text,true,,152736,143,500,500,http://localhost:8080/resources/css/petclinic.css,788,0,0
1653294316208,20161,Home page,200,,User threads 1-282,text,true,,3364,116,500,500,http://localhost:8080/,19655,0,1
1653294317015,19354,Home page,200,,User threads 1-322,text,true,,3364,116,500,500,http://localhost:8080/,18851,0,1
1653294315743,20720,Home page,200,,User threads 1-259,text,true,,3364,116,500,500,http://localhost:8080/,20719,0,1
1653294310962,25505,Home page,200,,User threads 1-33,text,true,,3364,116,500,500,http://localhost:8080/,24700,0,1
1653294313903,22564,Home page,200,,User threads 1-172,text,true,,3364,116,500,500,http://localhost:8080/,22564,0,1
1653294313224,23245,Home page,200,,User threads 1-139,text,true,,3364,116,500,500,http://localhost:8080/,22442,0,1
1653294315725,20840,Home page,200,,User threads 1-258,text,true,,3364,116,500,500,http://localhost:8080/,20840,0,1
1653294313921,22645,Home page,200,,User threads 1-173,text,true,,3364,116,500,500,http://localhost:8080/,21648,0,1
1653294317796,18771,Home page,200,,User threads 1-361,text,true,,3364,116,500,500,http://localhost:8080/,18771,0,0
1653294315434,21135,Home page,200,,User threads 1-244,text,true,,3364,116,500,500,http://localhost:8080/,21135,0,1
1653294316326,20341,Home page,200,,User threads 1-288,text,true,,3364,116,500,500,http://localhost:8080/,20340,0,1
1653294314135,22532,Home page,200,,User threads 1-183,text,true,,3364,116,500,500,http://localhost:8080/,22531,0,1
1653294315662,21113,Home page,200,,User threads 1-255,text,true,,3364,116,500,500,http://localhost:8080/,21112,0,1
1653294317277,19588,Home page,200,,User threads 1-334,text,true,,3364,116,500,500,http://localhost:8080/,19588,0,0
1653294313538,23425,Home page,200,,User threads 1-154,text,true,,3364,116,500,500,http://localhost:8080/,23239,0,0
